id,Added,Rating,STDev,Source Image,image url,image name,Canva Edit,Small Size,Dominant Size,Bridge Size,Heading Size,Paragraph Size,Dominant Font,Font #2,Font #3,Canva Template
1,basic,4.666666667,4.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-beige-photo-food-drive-flyer-MAC4DTDfljc.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-beige-photo-food-drive-flyer-MAC4DTDfljc.webp,https://www.canva.com/design?create=true&media=MAC4DTDfljc,11.4,32,10.4,11.9,9,Kollektif,Glacial Indifference,,https://www.canva.com/templates/flyers/MAC4DTDfljc-canva-beige-photo-food-drive
3,basic,4.666666667,4.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-black-and-yellow-icon-sports-flyer-MAC5t7rcTo0.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-black-and-yellow-icon-sports-flyer-MAC5t7rcTo0.webp,https://www.canva.com/design?create=true&media=MAC5t7rcTo0,7.95,41.7,10.5,11.9,9,Raleway Heavy,Raleway,,https://www.canva.com/templates/flyers/MAC5t7rcTo0-canva-black-and-yellow-icon-sports
4,basic,4.333333333,4,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-black-and-blue-lines-pattern-food-drive-flyer-MAC3TYAY1fE.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-black-and-blue-lines-pattern-food-drive-flyer-MAC3TYAY1fE.webp,https://www.canva.com/design?create=true&media=MAC3TYAY1fE,10.5,32,11,12,9,Peace Sans,Exo,,https://www.canva.com/templates/flyers/MAC3TYAY1fE-canva-black-and-blue-lines-pattern-food-drive
5,basic,4.333333333,4.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-black-and-gold-all-white-party-flyer-MAC7msY4lpw.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-black-and-gold-all-white-party-flyer-MAC7msY4lpw.webp,https://www.canva.com/design?create=true&media=MAC7msY4lpw,11,28,12,10,9,Libre Baskerville,,,https://www.canva.com/templates/flyers/MAC7msY4lpw-canva-black-and-gold-all-white-party
6,basic,4.333333333,4,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-black-and-gold-christmas-party-flyer-MAC5DgISwgk.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-black-and-gold-christmas-party-flyer-MAC5DgISwgk.webp,https://www.canva.com/design?create=true&media=MAC5DgISwgk,10,41.7,11.9,12.5,10.9,Grand Hotel,Lato,,https://www.canva.com/templates/flyers/MAC5DgISwgk-canva-black-and-gold-christmas-party
7,basic,4.333333333,4.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-blue-vaccine-photo-health-fair-flyer-MAC5uz44Wss.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-blue-vaccine-photo-health-fair-flyer-MAC5uz44Wss.webp,https://www.canva.com/design?create=true&media=MAC5uz44Wss,10,30,11,14,9,Oswald,Glacial Indifference,,https://www.canva.com/templates/flyers/MAC5uz44Wss-canva-blue-vaccine-photo-health-fair
8,basic,4.333333333,4,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-blue-yellow-and-orange-leaves-fall-festival-flyer-MAC3ZKCrIds.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-blue-yellow-and-orange-leaves-fall-festival-flyer-MAC3ZKCrIds.webp,https://www.canva.com/design?create=true&media=MAC3ZKCrIds,9.93,35.7,10.9,12,10.9,Norwester,Aleo,,https://www.canva.com/templates/flyers/MAC3ZKCrIds-canva-blue-yellow-and-orange-leaves-fall-festival
9,basic,4.333333333,4.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-orange-&-white-bold-creative-sport-football-tryouts-flyer-MAC6S8qYjo8.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-orange-&-white-bold-creative-sport-football-tryouts-flyer-MAC6S8qYjo8.webp,https://www.canva.com/design?create=true&media=MAC6S8qYjo8,9,42,12,14,7.95,Bebas Neue,Arvo,,https://www.canva.com/templates/flyers/MAC6S8qYjo8-canva-orange-&-white-bold-creative-sport-football-tryouts
10,basic,4.333333333,5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-yellow-and-black-jazz-night-saxophone-illustration-concert-flyer-MAC4_opPoG0.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-yellow-and-black-jazz-night-saxophone-illustration-concert-flyer-MAC4_opPoG0.webp,https://www.canva.com/design?create=true&media=MAC4_opPoG0,8.94,35.7,11.9,10.9,8.94,Norwester,Raleway,,https://www.canva.com/templates/flyers/MAC4_opPoG0-canva-yellow-and-black-jazz-night-saxophone-illustration-concert
12,basic,4,4,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-beige-scissors-icon-lines-volunteer-flyer-MAC7WcpqvLI.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-beige-scissors-icon-lines-volunteer-flyer-MAC7WcpqvLI.webp,https://www.canva.com/design?create=true&media=MAC7WcpqvLI,11,42,10,16,10,Playlist Script,Montserret,,https://www.canva.com/templates/flyers/MAC7WcpqvLI-canva-beige-scissors-icon-lines-volunteer
